#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNA43-2Port,1332450042101266,2.10
! Created: UTC 11/25/2021, 10:04:07 AM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 1.000000000000000E7     1.255331226511187E-1    9.885048903985348E-2    6.885974402671712E-1   -5.346587591057056E-1    7.235658262809073E-1   -5.438892619667353E-1    1.002137610839003E-1    8.622817473904437E-2
 8.495000000000000E7     1.869843585379515E-1   -4.483194379211164E-2    5.943202629564823E-1    4.824891944494555E-1    5.900881527429656E-1    4.760076349536709E-1    6.085120539384396E-2   -1.340182182072236E-1
 1.599000000000000E8     1.010006713895846E-2    2.804857890898017E-1   -4.678809239636967E-1    4.997836792481074E-1   -4.709813240949307E-1    4.894332171092410E-1    1.649223533494319E-1    1.401741008652160E-1
 2.348500000000000E8     2.739159944886760E-1   -2.199841674225274E-1   -4.449392456091146E-1   -4.075926504443103E-1   -4.199468931673612E-1   -3.904858518167077E-1   -1.471847277865944E-2   -3.549347782007949E-1
 3.098000000000000E8    -2.758479653465526E-1    1.274724866512393E-1    4.056994912563689E-1   -3.928245836594317E-1    3.947591034344649E-1   -3.538522768244367E-1    4.372065580412412E-2   -4.916415807854355E-2
 3.847500000000000E8     3.622123886276034E-1   -5.542389769239364E-3    3.351727656363043E-1    3.782490656256844E-1    3.378419964717432E-1    3.422262975536728E-1    3.867229649903782E-2   -1.744440209982992E-1
 4.597000000000000E8    -3.745133061488445E-1   -1.697151275468938E-1   -3.306430572283141E-1    2.956162956730973E-1   -3.010225742680566E-1    2.861258188748955E-1   -1.258617097633273E-1   -2.356809126001407E-1
 5.346500000000000E8     2.275903700511441E-1    1.622209130689213E-1   -2.534081536394555E-1   -3.735591741298437E-1   -2.533913349694504E-1   -3.694724610349528E-1    1.819161581095897E-1    8.564177899483966E-2
 6.096000000000000E8    -9.367069204173822E-2   -2.924332827835219E-1    3.530672164796647E-1   -2.128930908096210E-1    3.392382755594407E-1   -2.058255378796913E-1   -2.203324331694154E-1   -1.263704784810996E-1
 6.845500000000000E8     4.791615742488442E-2    1.914719911767419E-1    1.691021324682021E-1    3.669345830120562E-1    1.646259976707232E-1    3.558068861124706E-1    1.286727784871513E-1    2.965865110271132E-2
 7.595000000000000E8     4.372525257436574E-2   -1.631159415631235E-1   -3.479304984077508E-1    1.499345666542556E-1   -3.269376199141100E-1    1.444891451738234E-1   -1.494425465257273E-1   -9.529457121426299E-3
 8.344500000000000E8     6.552389223061635E-2    1.065552071033674E-1   -1.106113157439836E-1   -3.392371006459000E-1   -1.110989703761071E-1   -3.230835405242005E-1    6.684920575783462E-2   -1.051228289558507E-1
 9.094000000000000E8    -6.191059514554675E-2   -2.029281506657998E-2    3.313223971326135E-1   -9.310112153623464E-2    3.188570617123749E-1   -9.277352351523831E-2    3.047776866094328E-2    4.201585583244438E-2
 9.843500000000000E8     1.154505438343211E-1    1.410207817807280E-1    7.192223496046006E-2    3.077843515732889E-1    7.864880757963312E-2    2.940412761578504E-1   -5.429889728584485E-2   -6.769372177848811E-2
 1.059300000000000E9    -1.812986071280278E-1   -1.739343001788914E-1   -2.914990093399200E-1    3.510230104332139E-2   -2.773252415219278E-1    4.218059102480357E-2    1.133469423006427E-1   -7.295226600538786E-2
 1.134250000000000E9     1.219940321113344E-1    2.313538387352782E-1   -1.161461370412283E-2   -2.812387683528709E-1   -2.208428708814908E-2   -2.769831523139213E-1    1.895600983208832E-2    1.584190098063410E-2
 1.209200000000000E9     1.245269789083452E-2   -2.999873653499971E-1    2.611983714812574E-1    4.394589138724061E-3    2.579048134833351E-1    1.051185877061085E-3   -3.971923113675173E-2   -3.736224521567716E-2
 1.284150000000000E9    -8.030486947871551E-2    3.555280871530589E-1   -3.101863371790937E-2    2.365823853251739E-1   -3.385134987098815E-2    2.363306924135994E-1    7.201371953169500E-2   -9.327731989187105E-2
 1.359100000000000E9     1.953433923382090E-1   -3.013479384652546E-1   -2.227935585373918E-1   -5.937069500193995E-2   -2.117990294421911E-1   -5.574157595320645E-2   -8.806880816691644E-2   -3.287672029956063E-2
 1.434050000000000E9    -1.956489154861834E-1    2.181310822465055E-1    8.554105672865177E-2   -2.082961487505486E-1    7.857249617942987E-2   -2.006758034234985E-1    1.983124963312995E-1   -6.461065321082020E-2
 1.509000000000000E9     2.844657027757218E-1   -3.064428930846709E-2    1.972107143304196E-1    9.619512552556828E-2    1.922964618186848E-1    8.270230751103216E-2   -1.602844359179062E-1    3.851195313316978E-2
 1.583950000000000E9    -2.423508476357982E-1   -2.539421948146520E-3   -1.184453817583651E-1    1.737891606893941E-1   -1.095442368006703E-1    1.785642746818989E-1    1.112166543812649E-1   -1.022035570943284E-1
 1.658900000000000E9     1.639573353471555E-1    1.036086031765247E-1   -1.691646168428637E-1   -1.248687885444780E-1   -1.708981866991169E-1   -1.191424983971733E-1    2.610932489362053E-2    4.448483122962374E-2
 1.733850000000000E9    -1.235607445763721E-1   -1.772265547192571E-1    1.278990188949885E-1   -1.500952843098253E-1    1.236387465208738E-1   -1.495559527986709E-1   -1.086839089200037E-1    8.044373980692047E-3
 1.808800000000000E9     1.347555756797843E-1    6.384925757518278E-2    1.271224928014273E-1    1.414756119499490E-1    1.263121596515720E-1    1.346289986102924E-1    1.279990518552123E-1   -1.074392560618882E-1
 1.883750000000000E9    -7.396868755537488E-2   -9.496674728817517E-3   -1.435891418314605E-1    1.193244661004825E-1   -1.382416395554633E-1    1.200547005532286E-1   -7.642009533186352E-2    2.153368624418350E-2
 1.958700000000000E9     1.626381019489323E-1   -1.019327819363805E-1   -9.321805434881206E-2   -1.428585686924152E-1   -9.565144446242714E-2   -1.383370449732965E-1    1.211961017743291E-1   -9.930600138590061E-2
 2.033650000000000E9    -1.339936683806800E-1    5.750407812139866E-2    1.463630329551963E-1   -8.465949827326266E-2    1.397758119826908E-1   -8.893444016606022E-2    2.200300228525149E-2    5.674585749894327E-2
 2.108600000000000E9     2.755027964515596E-1    7.150674444794110E-3    6.888633694641824E-2    1.367008325441322E-1    7.247344729337801E-2    1.324622731458980E-1   -5.788979415933969E-2   -1.213156697773692E-1
 2.183550000000000E9    -2.577366593531695E-1   -1.182816620875941E-1   -1.391631309054071E-1    4.592008256714773E-2   -1.362188285672672E-1    5.648292607121193E-2    1.618676612023951E-1    3.659874065935471E-2
 2.258500000000000E9     2.429793410837636E-1    2.288961554511143E-1   -3.913136558816121E-2   -1.304427842057360E-1   -4.306511447274689E-2   -1.344358766141999E-1   -1.039395489150825E-1   -9.959501127720087E-2
 2.333450000000000E9    -1.142345391717148E-1   -3.719657057462880E-1    1.265037640909441E-1   -1.866018470903396E-2    1.260035703900073E-1   -2.346520328589460E-2    5.894351496858066E-2    1.325408202200447E-2
 2.408400000000000E9     4.120029682203245E-2    3.592367664779318E-1    6.815682545000029E-3    1.211438454954319E-1    5.905207194987858E-3    1.171848039497498E-1    5.214624155949369E-2   -1.219319577161382E-1
 2.483350000000000E9     1.243874865457919E-1   -3.653111630452997E-1   -1.100296783024432E-1   -7.633015061662381E-3   -1.078300281306866E-1   -3.954338193355491E-3   -1.003989622683130E-1   -4.533535939020805E-2
 2.558300000000000E9    -1.510466080367680E-1    2.162516272199756E-1    2.493581743429869E-2   -1.053591660130645E-1    2.006219765442814E-2   -1.061584576919154E-1    2.032341737600292E-1    6.228545923986575E-3
 2.633250000000000E9     2.636725135476540E-1   -1.459926411050384E-1    9.670003852944613E-2    3.502867531382104E-2    1.015063148483014E-1    3.255150317121404E-2   -1.602404988863325E-1   -9.606299573893758E-2
 2.708200000000000E9    -1.877104619498177E-1    4.273025860337683E-2   -5.313221725470651E-2    8.837712578353311E-2   -5.038345736499215E-2    9.133373879186973E-2    1.002401773415973E-1   -1.907515460160378E-2
 2.783150000000000E9     1.324111325493869E-1    1.172838430407624E-3   -8.958543192164377E-2   -6.314147185643715E-2   -9.262680143259189E-2   -5.911029181959303E-2    8.322226091422223E-2   -6.365329872629368E-4
 2.858100000000000E9    -9.406915231244685E-2   -5.400967134313569E-2    6.550050442073407E-2   -8.105562621048150E-2    6.244828994930195E-2   -8.280142490788488E-2   -1.675667565513581E-1   -1.140522848642890E-1
 2.933050000000000E9     7.609746037541271E-2   -3.896173877370525E-2    7.502762606979542E-2    7.370296550293021E-2    7.624215612231697E-2    7.143547396187490E-2    1.657641439201906E-1    9.016079016636852E-2
 3.008000000000000E9    -7.742274422608418E-2    4.050413842001602E-2   -7.630045240060970E-2    7.093708602356776E-2   -7.502162060351993E-2    7.252909081461199E-2   -5.868497844442508E-2   -1.958580113859202E-1
 3.082950000000000E9     1.385597090217982E-1   -8.961831919884723E-2   -6.567560322812925E-2   -7.791814290782904E-2   -6.820306354318827E-2   -7.449826067298503E-2   -6.237333784538498E-2    1.211768466366588E-1
 3.157900000000000E9    -2.191523857934836E-1    4.517035021419021E-2    7.547663066656678E-2   -5.658387294702034E-2    7.199930077485006E-2   -5.863139640221585E-2    1.615664539180736E-1   -9.836974862758903E-2
 3.232850000000000E9     2.902960139060035E-1    1.620456256016807E-2    4.322977279124263E-2    6.967652929120266E-2    4.904146778363021E-2    6.861702230062491E-2   -2.094852311807182E-1   -9.526018455595017E-2
 3.307800000000000E9    -2.843975142518952E-1   -1.407225908737504E-1   -7.057314353181779E-2    3.155817771501902E-2   -7.019395140908866E-2    3.539779977517029E-2    1.768370354082060E-1    1.472864134798044E-1
 3.382750000000000E9     1.921099817284982E-1    2.653067663003492E-1   -2.211859726244103E-2   -6.910879000988923E-2   -2.484305885833846E-2   -6.981736644577344E-2   -6.308873401415380E-2   -2.340518628791988E-1
