sep=,
Window,2,Frequency Sweep
Trace,1,
50005,-23.77264404296875,
149995,-62.69281768798828125,
249985,-57.09893798828125,
349975,-56.09546661376953125,
449965,-56.12175750732421875,
549955,-48.25681304931640625,
649945,-38.05103302001953125,
749935,-37.27227020263671875,
849925,-25.92038726806640625,
949915,-21.03653717041015625,
1049905,-16.745876312255859375,
1149895,-16.55904388427734375,
1249885,-16.12598419189453125,
1349875,-20.9532928466796875,
1449865,-24.535308837890625,
1549855,-25.59136199951171875,
1649845,-25.6835174560546875,
1749835,-28.040191650390625,
1849825,-30.2706298828125,
1949815,-31.45611572265625,
2049805,-31.6261444091796875,
2149795,-30.57157135009765625,
2249785,-29.60703277587890625,
2349775,-29.89031982421875,
2449765,-36.18973541259765625,
2549755,-39.00981903076171875,
2649745,-35.85025787353515625,
2749735,-35.2024993896484375,
2849725,-34.93633270263671875,
2949715,-32.41501617431640625,
3049705,-25.76042938232421875,
3149695,-21.011871337890625,
3249685,-21.125213623046875,
3349675,-28.16707611083984375,
3449665,-36.10727691650390625,
3549655,-38.31581878662109375,
3649645,-39.4924468994140625,
3749635,-35.92273712158203125,
3849625,-35.0646820068359375,
3949615,-35.790863037109375,
4049605,-38.60437774658203125,
4149595,-40.71070098876953125,
4249585,-41.69550323486328125,
4349575,-39.05290985107421875,
4449565,-41.9032440185546875,
4549555,-39.74627685546875,
4649545,-40.8416290283203125,
4749535,-42.381591796875,
4849525,-46.8559722900390625,
4949515,-48.70433807373046875,
5049505,-47.49016571044921875,
5149495,-47.5478973388671875,
5249485,-44.29093170166015625,
5349475,-46.20175933837890625,
5449465,-47.15177154541015625,
5549455,-44.818634033203125,
5649445,-43.86954498291015625,
5749435,-41.38127899169921875,
5849425,-41.6762542724609375,
5949415,-41.43418121337890625,
6049405,-38.80794525146484375,
6149395,-42.52986907958984375,
6249385,-41.74193572998046875,
6349375,-39.1448211669921875,
6449365,-39.93428802490234375,
6549355,-40.792083740234375,
6649345,-38.5254058837890625,
6749335,-35.36196136474609375,
6849325,-37.95012664794921875,
6949315,-39.9161834716796875,
7049305,-39.6701202392578125,
7149295,-38.92177581787109375,
7249285,-40.48264312744140625,
7349275,-42.2493438720703125,
7449265,-41.020599365234375,
7549255,-39.432891845703125,
7649245,-39.24597930908203125,
7749235,-41.516265869140625,
7849225,-40.90734100341796875,
7949215,-42.14582061767578125,
8049205,-43.3364105224609375,
8149195,-44.19246673583984375,
8249185,-44.2193756103515625,
8349175,-45.56874847412109375,
8449165,-45.57593536376953125,
8549155,-46.87418365478515625,
8649145,-46.26284027099609375,
8749135,-47.53957366943359375,
8849125,-45.95949554443359375,
8949115,-47.060699462890625,
9049105,-47.30915069580078125,
9149095,-46.87197113037109375,
9249085,-48.0679168701171875,
9349075,-47.86888885498046875,
9449065,-49.63732147216796875,
9549055,-51.146270751953125,
9649045,-50.6687164306640625,
9749035,-51.7378692626953125,
9849025,-50.6478729248046875,
9949015,-49.21490478515625,
10049005,-47.41869354248046875,
10148995,-46.73465728759765625,
10248985,-49.56810760498046875,
10348975,-48.25104522705078125,
10448965,-49.4797821044921875,
10548955,-46.4781951904296875,
10648945,-47.05035400390625,
10748935,-45.96094512939453125,
10848925,-44.754241943359375,
10948915,-45.1716156005859375,
11048905,-42.67708587646484375,
11148895,-44.40006256103515625,
11248885,-43.007659912109375,
11348875,-43.4911346435546875,
11448865,-42.5589752197265625,
11548855,-43.331817626953125,
11648845,-44.42464447021484375,
11748835,-43.0558929443359375,
11848825,-44.0694580078125,
11948815,-43.92319488525390625,
12048805,-43.59458160400390625,
12148795,-44.19152069091796875,
12248785,-44.509124755859375,
12348775,-46.16211700439453125,
12448765,-45.9542083740234375,
12548755,-45.40956878662109375,
12648745,-45.50786590576171875,
12748735,-44.5898284912109375,
12848725,-44.932891845703125,
12948715,-45.9660797119140625,
13048705,-46.7055816650390625,
13148695,-47.6954193115234375,
13248685,-47.68212890625,
13348675,-49.06829071044921875,
13448665,-49.19673919677734375,
13548655,-49.5892333984375,
13648645,-52.6577911376953125,
13748635,-51.68862152099609375,
13848625,-52.15300750732421875,
13948615,-51.76804351806640625,
14048605,-52.76303863525390625,
14148595,-52.65938568115234375,
14248585,-54.074310302734375,
14348575,-54.79319000244140625,
14448565,-56.6880645751953125,
14548555,-56.69248199462890625,
14648545,-57.5144195556640625,
14748535,-58.8009796142578125,
14848525,-59.2671661376953125,
14948515,-60.0992584228515625,
15048505,-60.6102294921875,
15148495,-61.2008056640625,
15248485,-63.49132537841796875,
15348475,-63.89581298828125,
15448465,-64.894378662109375,
15548455,-65.64171600341796875,
15648445,-64.529693603515625,
15748435,-64.75994110107421875,
15848425,-64.63260650634765625,
15948415,-61.4340972900390625,
16048405,-61.31707000732421875,
16148395,-59.83812713623046875,
16248385,-59.846771240234375,
16348375,-60.58985137939453125,
16448365,-60.92809295654296875,
16548355,-62.402374267578125,
16648345,-62.35234832763671875,
16748335,-62.83199310302734375,
16848325,-64.693389892578125,
16948315,-65.17220306396484375,
17048305,-66.25754547119140625,
17148295,-66.9475860595703125,
17248285,-68.27899932861328125,
17348275,-67.60279083251953125,
17448265,-69.0647430419921875,
17548255,-69.98644256591796875,
17648245,-71.23114013671875,
17748235,-71.5075531005859375,
17848225,-70.93134307861328125,
17948215,-71.81882476806640625,
18048205,-72.3153533935546875,
18148195,-71.207061767578125,
18248185,-70.77973175048828125,
18348175,-71.63268280029296875,
18448165,-71.35707855224609375,
18548155,-70.32405853271484375,
18648145,-70.11362457275390625,
18748135,-69.2492523193359375,
18848125,-68.832061767578125,
18948115,-68.76503753662109375,
19048105,-68.23657989501953125,
19148095,-69.05471038818359375,
19248085,-69.13758087158203125,
19348075,-67.54326629638671875,
19448065,-69.65840911865234375,
19548055,-68.37505340576171875,
19648045,-68.12998199462890625,
19748035,-69.27593994140625,
19848025,-68.59935760498046875,
19948015,-68.37701416015625,
20048005,-61.97028350830078125,
20147995,-67.0741729736328125,
20247985,-66.6422576904296875,
20347975,-66.93255615234375,
20447965,-66.1150665283203125,
20547955,-66.83708953857421875,
20647945,-66.259735107421875,
20747935,-66.19290924072265625,
20847925,-65.21849822998046875,
20947915,-66.19211578369140625,
21047905,-66.30869293212890625,
21147895,-67.29668426513671875,
21247885,-65.28374481201171875,
21347875,-66.49808502197265625,
21447865,-64.24561309814453125,
21547855,-65.21944427490234375,
21647845,-64.16796112060546875,
21747835,-63.30224609375,
21847825,-62.524261474609375,
21947815,-63.6859283447265625,
22047805,-62.02042388916015625,
22147795,-60.7265472412109375,
22247785,-61.788116455078125,
22347775,-61.33515167236328125,
22447765,-60.10015106201171875,
22547755,-59.062957763671875,
22647745,-58.8099822998046875,
22747735,-59.7567596435546875,
22847725,-58.81447601318359375,
22947715,-58.906768798828125,
