sep=,
Window,2,Frequency Sweep
Trace,1,
25007.49975002499923,-17.75782012939453125,
75002.499250074994052,-61.8560638427734375,
124997.49875012499979,-62.1983795166015625,
174992.49825017500552,-66.44689178466796875,
224987.49775022501126,-65.84255218505859375,
274982.49725027498789,-62.1692352294921875,
324977.49675032496452,-58.75237274169921875,
374972.49625037494116,-56.8341522216796875,
424967.49575042491779,-57.9291839599609375,
474962.49525047489442,-54.7383270263671875,
524957.49475052487105,-49.26824188232421875,
574952.49425057484768,-48.39766693115234375,
624947.49375062482432,-40.07563018798828125,
674942.49325067480095,-32.89144134521484375,
724937.49275072477758,-35.48693084716796875,
774932.49225077475421,-33.45754241943359375,
824927.49175082473084,-25.67406463623046875,
874922.49125087470748,-21.73853302001953125,
924917.49075092468411,-20.27361297607421875,
974912.49025097466074,-20.30512237548828125,
1024907.4897510246374,-19.8634033203125,
1074902.489251074614,-17.39986419677734375,
1124897.4887511245906,-18.3382110595703125,
1174892.4882511745673,-18.84694671630859375,
1224887.4877512245439,-15.060756683349609375,
1274882.4872512745205,-17.65691375732421875,
1324877.4867513244972,-20.043609619140625,
1374872.4862513744738,-20.51383209228515625,
1424867.4857514244504,-23.31652069091796875,
1474862.4852514744271,-26.08226776123046875,
1524857.4847515244037,-25.72191619873046875,
1574852.4842515743803,-24.5486907958984375,
1624847.483751624357,-24.7771453857421875,
1674842.4832516743336,-25.27386474609375,
1724837.4827517243102,-28.32175445556640625,
1774832.4822517742869,-29.92995452880859375,
1824827.4817518242635,-30.1718902587890625,
1874822.4812518742401,-29.535552978515625,
1924817.4807519242167,-29.50579833984375,
1974812.4802519741934,-31.48578643798828125,
2024807.47975202417,-29.99469757080078125,
2074802.4792520741466,-30.3131561279296875,
2124797.4787521241233,-29.97861480712890625,
2174792.4782521743327,-29.392364501953125,
2224787.4777522245422,-28.21019744873046875,
2274782.4772522747517,-28.77217864990234375,
2324777.4767523249611,-28.929779052734375,
2374772.4762523751706,-29.422393798828125,
2424767.4757524253801,-32.8040618896484375,
2474762.4752524755895,-37.4589691162109375,
2524757.474752525799,-39.938995361328125,
2574752.4742525760084,-36.998138427734375,
2624747.4737526262179,-35.2975921630859375,
2674742.4732526764274,-35.929443359375,
2724737.4727527266368,-34.930908203125,
2774732.4722527768463,-34.3054351806640625,
2824727.4717528270558,-34.4484405517578125,
2874722.4712528772652,-34.39395904541015625,
2924717.4707529274747,-34.515350341796875,
2974712.4702529776841,-32.51213836669921875,
3024707.4697530278936,-28.42125701904296875,
3074702.4692530781031,-24.5755615234375,
3124697.4687531283125,-21.3378448486328125,
3174692.468253178522,-20.23247528076171875,
3224687.4677532287315,-20.1053314208984375,
3274682.4672532789409,-21.671356201171875,
3324677.4667533291504,-25.61325836181640625,
3374672.4662533793598,-29.13282012939453125,
3424667.4657534295693,-32.0531768798828125,
3474662.4652534797788,-33.91507720947265625,
3524657.4647535299882,-35.4938812255859375,
3574652.4642535801977,-36.8269195556640625,
3624647.4637536304072,-37.913299560546875,
3674642.4632536806166,-40.157928466796875,
3724637.4627537308261,-37.92253875732421875,
3774632.4622537810355,-35.2269287109375,
3824627.461753831245,-34.04798126220703125,
3874622.4612538814545,-35.54547882080078125,
3924617.4607539316639,-34.84490203857421875,
3974612.4602539818734,-36.26025390625,
4024607.4597540320829,-36.0000762939453125,
4074602.4592540822923,-37.56989288330078125,
4124597.4587541325018,-39.15787506103515625,
4174592.4582541827112,-39.5654449462890625,
4224587.4577542329207,-42.1753692626953125,
4274582.4572542831302,-39.981170654296875,
4324577.4567543333396,-36.195281982421875,
4374572.4562543835491,-39.274993896484375,
4424567.4557544337586,-41.8666534423828125,
4474562.455254483968,-39.93172454833984375,
4524557.4547545341775,-39.876708984375,
4574552.4542545843869,-39.4729766845703125,
4624547.4537546345964,-41.86324310302734375,
4674542.4532546848059,-40.37866973876953125,
4724537.4527547350153,-41.305023193359375,
4774532.4522547852248,-42.9169921875,
4824527.4517548354343,-47.1192169189453125,
4874522.4512548856437,-45.4398956298828125,
4924517.4507549358532,-47.39829254150390625,
4974512.4502549860626,-47.64519500732421875,
5024507.4497550362721,-48.02625274658203125,
5074502.4492550864816,-43.90648651123046875,
5124497.448755136691,-44.44318389892578125,
5174492.4482551869005,-45.46086883544921875,
5224487.44775523711,-41.21368408203125,
5274482.4472552873194,-46.47634124755859375,
5324477.4467553375289,-46.61051177978515625,
5374472.4462553877383,-42.0398712158203125,
5424467.4457554379478,-43.8370819091796875,
5474462.4452554881573,-46.303070068359375,
5524457.4447555383667,-43.35248565673828125,
5574452.4442555885762,-45.84058380126953125,
5624447.4437556387857,-41.96564483642578125,
5674442.4432556889951,-40.86737060546875,
5724437.4427557392046,-38.95104217529296875,
5774432.442255789414,-43.06621551513671875,
5824427.4417558396235,-42.395721435546875,
5874422.441255889833,-41.4483184814453125,
5924417.4407559400424,-40.010589599609375,
5974412.4402559902519,-40.9495086669921875,
6024407.4397560404614,-40.2490386962890625,
6074402.4392560906708,-38.76544189453125,
6124397.4387561408803,-41.23523712158203125,
6174392.4382561910897,-42.08953857421875,
6224387.4377562412992,-42.37067413330078125,
6274382.4372562915087,-41.70892333984375,
6324377.4367563417181,-39.0912933349609375,
6374372.4362563919276,-37.4909210205078125,
6424367.4357564421371,-38.29952239990234375,
6474362.4352564923465,-39.0542755126953125,
6524357.434756542556,-39.90238189697265625,
6574352.4342565927655,-39.8459625244140625,
6624347.4337566429749,-41.1464080810546875,
6674342.4332566931844,-39.69647979736328125,
6724337.4327567433938,-38.09055328369140625,
6774332.4322567936033,-38.14197540283203125,
6824327.4317568438128,-38.7113189697265625,
6874322.4312568940222,-38.75579833984375,
6924317.4307569442317,-39.18384552001953125,
6974312.4302569944412,-39.87457275390625,
7024307.4297570446506,-41.45725250244140625,
7074302.4292570948601,-41.895355224609375,
7124297.4287571450695,-41.5869903564453125,
7174292.428257195279,-40.97153472900390625,
7224287.4277572454885,-41.66977691650390625,
7274282.4272572956979,-42.277923583984375,
7324277.4267573459074,-42.0345458984375,
7374272.4262573961169,-41.49398040771484375,
7424267.4257574463263,-40.6408843994140625,
7474262.4252574965358,-41.74237060546875,
7524257.4247575467452,-40.90978240966796875,
7574252.4242575969547,-39.972198486328125,
7624247.4237576471642,-37.92633819580078125,
7674242.4232576973736,-39.60247802734375,
7724237.4227577475831,-40.44354248046875,
7774232.4222577977926,-40.95394134521484375,
7824227.421757848002,-39.97231292724609375,
7874222.4212578982115,-41.35517120361328125,
7924217.4207579484209,-40.782867431640625,
7974212.4202579986304,-42.2181243896484375,
8024207.4197580488399,-41.91492462158203125,
8074202.4192580990493,-41.72605133056640625,
8124197.4187581492588,-43.574371337890625,
8174192.4182581994683,-44.50827789306640625,
8224187.4177582496777,-41.71872711181640625,
